city,label,text
BatonRouge,Street_Lighting,THE STREET LIGHT OPPOSITE MY ADDRESS FLICKERS AND ALTERNATES COLOR BETWEEN WHITE AND YELLOW.
BatonRouge,Waste_Sanitation,PLEASE RETRIEVE 2 BAGS OF LITTER AT THE CORNER OF ANN DR AND CEDARCREST PICKED UP BY KTTB VOLUNTEERS
BatonRouge,Waste_Sanitation,RECYCLE CART NOT SERVICED FOR LAST THREE WEEKS SAT 12/16
BatonRouge,Waste_Sanitation,"SINCE I REPORTED ON THE PHONE 311 AND GOT TICKET FOR DAMAGE THE LID. THEY TOLD ME THE BIN STAY ON THE CURB STREET FOR REPLACE IT FOR TWO WEEKS BUT THEY DIDN�T  CHANGE OR PICK TO REPLACE IT AND WAITED FOR A MONTH.  SO AGAIN, I HAVE TO REPORT THIS MESSAGE AND NEED TO REPLACE IT, PLEASE.  WHERE ARE YOU DOING SIT NOTHING TO DO??  I PAY THE BILLS FOR THE GARBAGE BINS ON THE TIME!   17068 LAKEPARK AVE, BR LA 70816.    THANKS, LACEY"
BatonRouge,Waste_Sanitation,96 GAL CART DROPPED IN TRUCK SAT 12/16
BatonRouge,Waste_Sanitation,CALLER REPORTING CELL PHONED DROPPED AT PROPERTY...TRYING TO RETURN IT...CAN BE REACHED AT CONTACT NUMBER LISTED
BatonRouge,Waste_Sanitation,96 GAL CART DENT AND HANDLE BROKEN
BatonRouge,Waste_Sanitation,GARBAGE CART NOT SERVICED FRI 12/16
BatonRouge,Waste_Sanitation,I PUT MY TRASHCAN AT THE ROAD AND THE TRUCK DROVE RIGHT PAST IT??
BatonRouge,Waste_Sanitation,REQUEST FOR HANDPILE PICKUP.  THANK YOU.
BatonRouge,Waste_Sanitation,96 GAL CART STOLEN REPORT FILE W/ BRPD - 23-125608
BatonRouge,Waste_Sanitation,FOURTH REQUEST. TRASH DID NOT GET PICKED UP  I HAVE CALLED AND USED THIS APP AND STILL NO PICK UP. NOT SURE WHAT THE PROBLEM IS.
BatonRouge,Waste_Sanitation,TWO 96 GAL CARTS WAS MISSED ON FRI (12-15-23)
BatonRouge,Waste_Sanitation,RECYCLE CART NOT SERVICED TUES 12/12
BatonRouge,Waste_Sanitation,96 GAL CART DROPPED IN TRUCK SAT 12/16 ...GVE ID#
BatonRouge,Waste_Sanitation,96 GAL CART DROPPED IN TRUCK SAT 12/16
BatonRouge,Waste_Sanitation,"GARBAGE CAN LID AND HANDLE IS BROKEN, NEED REPLACEMENT GARBAGE BIN"
BatonRouge,Waste_Sanitation,I NEED A NEW GARBAGE CART
